Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
216,1.0,"[1056.0586363494622, 821.5235977686024, 1432.0581361159543, 1079.9489667639184]","[1188.722900390625, 1026.0611572265625, 1332.8302001953125, 1071.1256103515625]",0.5837475657463074,AP05JEO,0.5822644094812183
217,1.0,"[1055.9575708641332, 824.7162459863149, 1432.0966187760368, 1079.4803042236708]","[1192.4893798828125, 1030.0615234375, 1335.3585205078125, 1072.1800537109375]",0.5785583853721619,AP05JEO,0.2590553642680729
218,1.0,"[1060.642146285444, 828.4423206685448, 1435.9888958790423, 1079.327181014031]","[1205.32958984375, 1037.15380859375, 1333.910400390625, 1073.472412109375]",0.4934048056602478,AP05JEO,0.3995052160951705
219,1.0,"[1063.6870388452435, 832.7828570686803, 1441.7645093442284, 1079.3086807682855]","[1189.201171875, 1039.920654296875, 1334.501953125, 1075.325439453125]",0.3704479932785034,AP05JEO,0.2419421422852354
3,3.0,"[371.72122607903304, 693.2440170378561, 715.473458131292, 1006.26156985699]","[485.87103271484375, 890.5486450195312, 594.6918334960938, 942.1118774414062]",0.5747876763343811,NA13MPU,0.3096094617380335
4,3.0,"[369.72992246200556, 695.9942030442484, 715.7656221011714, 1011.0246996154713]","[482.58180236816406, 895.3511352539062, 592.2155456542969, 944.8590087890625]",0.0,,0.0
5,3.0,"[367.7386188449781, 698.7443890506406, 716.0577860710508, 1015.7878293739525]","[479.2925720214844, 900.1536254882812, 589.7392578125, 947.6061401367188]",0.5578978061676025,NA13MRU,0.6781952321674983
6,3.0,"[364.9823197104845, 701.4407976820765, 714.5436315736432, 1021.3210197367014]","[473.9925842285156, 902.0152587890625, 591.5745239257812, 952.3577270507812]",0.0,,0.0
7,3.0,"[362.2260205759909, 704.1372063135125, 713.0294770762356, 1026.8542100994503]","[468.6925964355469, 903.8768920898438, 593.4097900390625, 957.1093139648438]",0.594379186630249,HA13MRU,0.1428831898079919
8,3.0,"[358.9782223874683, 706.837066448121, 711.0378521188746, 1030.3390714141615]","[466.18560791015625, 909.0087738037109, 590.595947265625, 961.6995697021484]",0.0,,0.0
9,3.0,"[355.7304241989457, 709.5369265827297, 709.0462271615136, 1033.8239327288727]","[463.6786193847656, 914.1406555175781, 587.7821044921875, 966.2898254394531]",0.0,,0.0
10,3.0,"[352.482626010423, 712.2367867173384, 707.0546022041526, 1037.308794043584]","[461.171630859375, 919.2725372314453, 584.96826171875, 970.8800811767578]",0.0,,0.0
11,3.0,"[349.2348278219004, 714.936646851947, 705.0629772467917, 1040.7936553582952]","[458.6646423339844, 924.4044189453125, 582.1544189453125, 975.4703369140625]",0.5848526358604431,NA13NRU,0.4974560312376297
12,3.0,"[347.2852687771599, 718.2435961269911, 704.1814088007296, 1044.414857309141]","[458.77219848632814, 927.7793701171875, 581.275, 979.3729248046875]",0.0,,0.0
13,3.0,"[345.33570973241933, 721.5505454020353, 703.2998403546675, 1048.036059259987]","[458.8797546386719, 931.1543212890625, 580.3955810546875, 983.2755126953125]",0.0,,0.0
14,3.0,"[343.3861506876788, 724.8574946770793, 702.4182719086054, 1051.6572612108328]","[458.9873107910156, 934.5292724609375, 579.516162109375, 987.1781005859375]",0.0,,0.0
