Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
103,6.0,[473.3393678198895 712.4730497719962 836.7825641219306 993.9394923212759],[598.276611328125 879.4537353515625 705.5791625976562 930.2532348632812],0.3176526725292206,GY15OCJ,0.8388085941471386
104,1.0,[1027.5547268585417 553.693360652582 1279.8739034576327 775.0273534499572],[1111.8065185546875 681.4852294921875 1212.41015625 734.44384765625],0.5083065629005432,AP05JEO,0.12694225673364823
105,1.0,[1027.925317378446 555.0620402155246 1280.5562656163902 776.778102665535],[1109.20556640625 681.7198486328125 1214.9234619140625 736.0859375],0.2899758815765381,AP05JEO,0.43950483669862006
109,6.0,[464.7075180027572 731.9321411777677 832.1705860687977 1019.7026726597904],[582.1614990234375 903.0316772460938 697.1434936523438 956.4325561523438],0.33486977219581604,GX15OGJ,0.3226877234702644
111,8.0,[575.571080073478 529.0196938081524 812.1315505066648 735.0174897631132],[653.0394287109375 636.5662841796875 735.5267333984375 688.331298828125],0.384612113237381,KX35ZZI,0.05230035701950523
111,6.0,[462.66642919255617 738.9761512658145 830.7373084801433 1029.3156949728748],[580.529541015625 918.4639892578125 691.61962890625 975.4495239257812],0.3518567681312561,GY15OGJ,0.6547631301810811
114,6.0,[454.96469159729804 749.2671840122082 828.0751546457709 1043.8026139796445],[586.0003662109375 928.0701904296875 690.8784790039062 977.614990234375],0.3622417151927948,GX15UCJ,0.2809436456665017
115,1.0,[1026.2371660636404 569.8369612320487 1288.478354982682 796.1497899788062],[1108.92431640625 706.0389404296875 1217.304443359375 759.5947265625],0.27146872878074646,AF05JEQ,0.22293367667888603
116,6.0,[449.940340048955 755.7399934487056 827.4929160582731 1051.4952126099222],[570.110107421875 936.7871704101562 690.127685546875 993.5811767578125],0.3961096704006195,GX15OGJ,0.531688888982732
117,6.0,[447.30593168230166 759.0555505466915 826.0810932094994 1054.466131160858],[577.278076171875 940.377685546875 684.7443237304688 997.4866333007812],0.453402578830719,CY15OGJ,0.09517778654689021
118,1.0,[1025.6895673551785 575.8070365130761 1290.1328239917157 804.1661098422805],[1110.513671875 709.40087890625 1217.898681640625 762.427490234375],0.3104051649570465,AP05JEO,0.32070050130998
